sample_id	condition	replicate	tissue	age	sex	fastq_r1	fastq_r2	notes
Chd8_HPC_10M_W	wildtype	1	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_10M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_10M_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, male
Chd8_HPC_13F_H	heterozygous	1	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_13F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_13F_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, female
Chd8_HPC_15F_H	heterozygous	2	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_15F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_15F_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, female
Chd8_HPC_18F_H	heterozygous	3	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_18F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_18F_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, female
Chd8_HPC_1F_W	wildtype	1	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_1F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_1F_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, female
Chd8_HPC_2F_W	wildtype	2	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_2F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_2F_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, female
Chd8_HPC_2M_H	heterozygous	1	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_2M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_2M_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, male
Chd8_HPC_4M_W	wildtype	2	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_4M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_4M_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, male
Chd8_HPC_5M_H	heterozygous	2	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_5M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_5M_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, male
Chd8_HPC_6F_W	wildtype	3	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_6F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_6F_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, female
Chd8_HPC_6M_H	heterozygous	3	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_6M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_6M_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, male
Chd8_HPC_78M_W	wildtype	3	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_78M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_78M_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, female
Chd8_HPC_7F_W	wildtype	4	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_7F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_7F_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, female
Chd8_HPC_89M_W	wildtype	4	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_89M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_89M_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, male
Chd8_HPC_8F_H	heterozygous	4	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_8F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_8F_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, female
Chd8_HPC_8M_W	wildtype	4	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_8M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_8M_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, male
Chd8_HPC_910M_H	heterozygous	4	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_910M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_910M_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, male
Chd8_HPC_9F_W	wildtype	4	Hippocampus	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_9F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_9F_W_2.fq.gz	CHD8+/+ wildtype, hippocampus, female
Chd8_HPC_9M_H	heterozygous	4	Hippocampus	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_9M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_HPC_9M_H_2.fq.gz	CHD8+/- heterozygous, hippocampus, male
Chd8_PFC_10M_W	wildtype	1	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_10M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_10M_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, male
Chd8_PFC_13F_H	heterozygous	1	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_13F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_13F_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, female
Chd8_PFC_15F_H	heterozygous	2	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_15F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_15F_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, female
Chd8_PFC_18F_H	heterozygous	3	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_18F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_18F_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, female
Chd8_PFC_1F_W	wildtype	1	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_1F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_1F_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, female
Chd8_PFC_2F_W	wildtype	2	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_2F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_2F_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, female
Chd8_PFC_2M_H	heterozygous	2	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_2M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_2M_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, male
Chd8_PFC_4M_W	wildtype	2	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_4M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_4M_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, male
Chd8_PFC_5M_H	heterozygous	2	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_5M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_5M_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, male
Chd8_PFC_6F_W	wildtype	2	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_6F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_6F_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, female
Chd8_PFC_6M_H	heterozygous	2	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_6M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_6M_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, male
Chd8_PFC_78M_W	wildtype	3	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_78M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_78M_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, female
Chd8_PFC_7F_W	wildtype	3	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_7F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_7F_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, female
Chd8_PFC_89M_W	wildtype	3	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_89M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_89M_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, male
Chd8_PFC_8F_H	heterozygous	3	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_8F_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_8F_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, female
Chd8_PFC_8M_W	wildtype	3	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_8M_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_8M_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, male
Chd8_PFC_910M_H	heterozygous	3	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_910M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_910M_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, male
Chd8_PFC_9F_W	wildtype	3	Prefrontal Cortex	>10w	Female	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_9F_W_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_9F_W_2.fq.gz	CHD8+/+ wildtype, prefrontal cortex, female
Chd8_PFC_9M_H	heterozygous	3	Prefrontal Cortex	>10w	Male	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_9M_H_1.fq.gz	/data_3tb/shared/chd8-rna-seq-raw-data/fastq/Chd8_PFC_9M_H_2.fq.gz	CHD8+/- heterozygous, prefrontal cortex, male